town,office,district,party,candidate,votes
North Kingstown,Town Council TOWN OF NORTH KINGSTOWN,,NON,WRITE-IN,1522
North Kingstown,School Committee TOWN OF NORTH KINGSTOWN,,DEM,Jennifer S. Lima,9069
North Kingstown,School Committee TOWN OF NORTH KINGSTOWN,,DEM,Jennifer P. Hoskins,8427
North Kingstown,School Committee TOWN OF NORTH KINGSTOWN,,DEM,Jacob W. Mather,7921
North Kingstown,School Committee TOWN OF NORTH KINGSTOWN,,REP,Hannah R. Zangari,7843
North Kingstown,School Committee TOWN OF NORTH KINGSTOWN,,REP,Robert S. Jones,6437
North Kingstown,School Committee TOWN OF NORTH KINGSTOWN,,NON,WRITE-IN,183
North Kingstown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,8506
North Kingstown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,7772
North Providence,President,,DEM,Joseph R. Biden,9438
North Providence,President,,REP,Donald J. Trump,7129
North Providence,President,,Lib,Jo Jorgensen,145
North Providence,President,,NON,WRITE-IN,66
North Providence,President,,S&L,Gloria La Riva,31
North Providence,President,,AS,Brian Carroll,23
North Providence,President,,All,Roque &quot;Rocky&quot; De La Fuente,19
North Providence,U.S. Senate,,DEM,John F. Reed,10569
North Providence,U.S. Senate,,REP,Allen R. Waters,5301
North Providence,U.S. Senate,,NON,WRITE-IN,40
North Providence,U.S. House,1,DEM,David N. Cicilline,10420
North Providence,U.S. House,1,Ind,Frederick Wysocki,2809
North Providence,U.S. House,1,Ind,Jeffrey Edward Lemire,2085
North Providence,U.S. House,1,NON,WRITE-IN,145
North Providence,State Senate,4,DEM,Dominick J. Ruggerio,6593
North Providence,State Senate,4,NON,WRITE-IN,352
North Providence,State Senate,7,DEM,Frank A. Ciccone,1935
North Providence,State Senate,7,NON,WRITE-IN,74
North Providence,State Senate,15,DEM,Meghan E. Kallman,585
North Providence,State Senate,15,NON,WRITE-IN,27
North Providence,State Senate,17,REP,Thomas J. Paolino,950
North Providence,State Senate,17,DEM,"John Douglas Barr, II",784
North Providence,State Senate,17,NON,WRITE-IN,1
North Providence,State Senate,22,DEM,Stephen R. Archambault,1757
North Providence,State Senate,22,REP,Paul M. Santucci,913
North Providence,State Senate,22,Ind,Stephen G. Tocco,240
North Providence,State Senate,22,NON,WRITE-IN,6
North Providence,State House,6,DEM,Raymond A. Hull,1463
North Providence,State House,6,Ind,Jorge Porras,378
North Providence,State House,6,NON,WRITE-IN,14
North Providence,State House,54,DEM,William W. O&#39;Brien,5481
North Providence,State House,54,NON,WRITE-IN,197
North Providence,State House,55,DEM,Arthur J. Corvese,5872
North Providence,State House,55,NON,WRITE-IN,205
North Providence,Mayor TOWN OF NORTH PROVIDENCE,,DEM,Charles Lombardi,14050
North Providence,Mayor TOWN OF NORTH PROVIDENCE,,NON,WRITE-IN,639
North Providence,Council District 1 North Providence,,DEM,Steven A. Loporchio,4146
North Providence,Council District 1 North Providence,,NON,WRITE-IN,112
North Providence,Council District 2 North Providence,,DEM,"Kenneth J. Amoriggi, II",4570
North Providence,Council District 2 North Providence,,NON,WRITE-IN,122
North Providence,Council District 3 North Providence,,DEM,Steven Di Lorenzo,4348
North Providence,Council District 3 North Providence,,NON,WRITE-IN,149
North Providence,School Committee District 1 North Providence,,DEM,Gina M. Picard,4041
North Providence,School Committee District 1 North Providence,,NON,WRITE-IN,138
North Providence,School Committee District 2 North Providence,,DEM,Roderick E. Da Silva,4608
North Providence,School Committee District 2 North Providence,,NON,WRITE-IN,160
North Providence,School Committee District 3 North Providence,,DEM,Steven M. Andreozzi,4330
North Providence,School Committee District 3 North Providence,,NON,WRITE-IN,159
North Providence,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,7707
North Providence,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,7179
North Smithfield,President,,REP,Donald J. Trump,3550
North Smithfield,President,,DEM,Joseph R. Biden,3507
North Smithfield,President,,Lib,Jo Jorgensen,85
North Smithfield,President,,NON,WRITE-IN,34
North Smithfield,President,,AS,Brian Carroll,11
North Smithfield,President,,All,Roque &quot;Rocky&quot; De La Fuente,10
North Smithfield,President,,S&L,Gloria La Riva,9
North Smithfield,U.S. Senate,,DEM,John F. Reed,3904
North Smithfield,U.S. Senate,,REP,Allen R. Waters,3017
North Smithfield,U.S. Senate,,NON,WRITE-IN,6
North Smithfield,U.S. House,1,DEM,David N. Cicilline,3709
North Smithfield,U.S. House,1,Ind,Frederick Wysocki,1474
North Smithfield,U.S. House,1,Ind,Jeffrey Edward Lemire,1350
North Smithfield,U.S. House,1,NON,WRITE-IN,37
North Smithfield,State Senate,17,REP,Thomas J. Paolino,2057
North Smithfield,State Senate,17,DEM,"John Douglas Barr, II",1244
North Smithfield,State Senate,17,NON,WRITE-IN,5
North Smithfield,State Senate,23,REP,Jessica de la Cruz,877
North Smithfield,State Senate,23,DEM,Paul A. Roselli,564
North Smithfield,State Senate,23,NON,WRITE-IN,0
North Smithfield,State Senate,24,DEM,Melissa A. Murray,1435
North Smithfield,State Senate,24,NON,WRITE-IN,73
North Smithfield,State House,48,REP,Brian C. Newberry,5485
North Smithfield,State House,48,NON,WRITE-IN,167
North Smithfield,Non-Partisan Town Administrator TOWN OF NORTH SMITHFIELD,,NON,Paul J. Zwolenski,3774
North Smithfield,Non-Partisan Town Administrator TOWN OF NORTH SMITHFIELD,,NON,Douglas B. Osier,2455
North Smithfield,Non-Partisan Town Administrator TOWN OF NORTH SMITHFIELD,,NON,WRITE-IN,34
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Kimberly L. Alves,3109
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,John A. Beauregard,2970
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Claire Vallieres O&#39;Hara,2850
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Paul E. Vadenais,2835
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Stephen M. Corriveau,2275
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Megan Lindsy Staples,2127
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Teresa Bartomioli,2045
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Christopher P. Simpkins,1985
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Cheryl A. Marandola,1977
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,Ana M. Parsons,1935
North Smithfield,Non-Partisan Town Council TOWN OF NORTH SMITHFIELD,,NON,WRITE-IN,91
North Smithfield,Non-Partisan School Committee North Smithfield,,NON,"James J. Lombardi, III",4398
North Smithfield,Non-Partisan School Committee North Smithfield,,NON,Jean B. Meo,3975
North Smithfield,Non-Partisan School Committee North Smithfield,,NON,Margaret A. Votta,3934
North Smithfield,Non-Partisan School Committee North Smithfield,,NON,WRITE-IN,81
North Smithfield,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,3689
North Smithfield,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2848
Pawtucket,President,,DEM,Joseph R. Biden,18053
Pawtucket,President,,REP,Donald J. Trump,7257
Pawtucket,President,,Lib,Jo Jorgensen,188
Pawtucket,President,,NON,WRITE-IN,121
Pawtucket,President,,S&L,Gloria La Riva,68
Pawtucket,President,,All,Roque &quot;Rocky&quot; De La Fuente,52
Pawtucket,President,,AS,Brian Carroll,49
Pawtucket,U.S. Senate,,DEM,John F. Reed,18166
Pawtucket,U.S. Senate,,REP,Allen R. Waters,5375
Pawtucket,U.S. Senate,,NON,WRITE-IN,75
Pawtucket,U.S. House,1,DEM,David N. Cicilline,18591
Pawtucket,U.S. House,1,Ind,Frederick Wysocki,2811
Pawtucket,U.S. House,1,Ind,Jeffrey Edward Lemire,2443
Pawtucket,U.S. House,1,NON,WRITE-IN,124
Pawtucket,State Senate,8,DEM,Sandra C. Cano,6610
Pawtucket,State Senate,8,REP,Richard R. Karsulavitch,2610
Pawtucket,State Senate,8,NON,WRITE-IN,31
Pawtucket,State Senate,15,DEM,Meghan E. Kallman,7233
Pawtucket,State Senate,15,NON,WRITE-IN,233
Pawtucket,State Senate,16,DEM,Jonathon Acosta,1540
Pawtucket,State Senate,16,NON,WRITE-IN,54
Pawtucket,State Senate,18,DEM,Cynthia M. Mendes,3703
Pawtucket,State Senate,18,NON,WRITE-IN,147
Pawtucket,State House,46,DEM,Mary Ann Shallcross Smith,216
Pawtucket,State House,46,Ind,"John W. Lyle, Jr.",70
Pawtucket,State House,46,REP,John J. Cullen,59
Pawtucket,State House,46,NON,WRITE-IN,2
Pawtucket,State House,58,DEM,Carlos Eduardo Tobon,3497
Pawtucket,State House,58,NON,WRITE-IN,118
Pawtucket,State House,59,DEM,Jean Philippe Barros,4142
Pawtucket,State House,59,NON,WRITE-IN,99
Pawtucket,State House,60,DEM,Karen Alzate,3511
Pawtucket,State House,60,NON,WRITE-IN,114
Pawtucket,State House,61,DEM,Leonela Felix,3500
Pawtucket,State House,61,REP,"Robert O. Wheeler, III",1973
Pawtucket,State House,61,NON,WRITE-IN,12
Pawtucket,State House,62,DEM,Mary Duffy Messier,4451
Pawtucket,State House,62,NON,WRITE-IN,158
Pawtucket,Mayor CITY OF PAWTUCKET,,DEM,Donald R. Grebien,21078
Pawtucket,Mayor CITY OF PAWTUCKET,,NON,WRITE-IN,1050
Pawtucket,Council At - Large CITY OF PAWTUCKET,,DEM,Melissa L. DaRosa,14564
Pawtucket,Council At - Large CITY OF PAWTUCKET,,DEM,Michael A. Araujo,14250
Pawtucket,Council At - Large CITY OF PAWTUCKET,,DEM,Elena Vasquez,12910
Pawtucket,Council At - Large CITY OF PAWTUCKET,,NON,WRITE-IN,959
Pawtucket,Council District 1 Pawtucket,,DEM,David P. Moran,3291
Pawtucket,Council District 1 Pawtucket,,NON,WRITE-IN,128
Pawtucket,Council District 2 Pawtucket,,DEM,Mark J. Wildenhain,2942
Pawtucket,Council District 2 Pawtucket,,REP,Nathan T. Luciano,1158
Pawtucket,Council District 2 Pawtucket,,NON,WRITE-IN,11
Pawtucket,Council District 3 Pawtucket,,DEM,Terrence E. Mercer,3968
Pawtucket,Council District 3 Pawtucket,,NON,WRITE-IN,112
Pawtucket,Council District 4 Pawtucket,,DEM,Alexis C. Schuette,2578
Pawtucket,Council District 4 Pawtucket,,Ind,Joseph C. Flanagan,1169
Pawtucket,Council District 4 Pawtucket,,NON,WRITE-IN,18
Pawtucket,Council District 5 Pawtucket,,DEM,Ama Mensah Amponsah,2710
Pawtucket,Council District 5 Pawtucket,,NON,WRITE-IN,82
Pawtucket,Council District 6 Pawtucket,,DEM,"Timothy P. Rudd, Jr.",3521
Pawtucket,Council District 6 Pawtucket,,NON,WRITE-IN,103
Pawtucket,School Committee CITY OF PAWTUCKET,,DEM,Kimberly A. Grant,12794
Pawtucket,School Committee CITY OF PAWTUCKET,,DEM,Joanne M. Bonollo,12558
Pawtucket,School Committee CITY OF PAWTUCKET,,DEM,Erin Dube,11331
Pawtucket,School Committee CITY OF PAWTUCKET,,DEM,Roberto H. Moreno,10711
Pawtucket,School Committee CITY OF PAWTUCKET,,DEM,Gerard A. Charbonneau,10372
Pawtucket,School Committee CITY OF PAWTUCKET,,DEM,Joseph C. Knight,9989
Pawtucket,School Committee CITY OF PAWTUCKET,,DEM,Stephen O. Larbi,9565
Pawtucket,School Committee CITY OF PAWTUCKET,,Ind,Rodney A. Barber,7051
Pawtucket,School Committee CITY OF PAWTUCKET,,NON,WRITE-IN,742
Pawtucket,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,14070
Pawtucket,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,7710
Pawtucket,2. IMPROVEMENT AND REPLACEMENT OF TRAFFIC CONTROL DEVICE,,NON,Approve,15446
Pawtucket,2. IMPROVEMENT AND REPLACEMENT OF TRAFFIC CONTROL DEVICE,,NON,Reject,8173
Pawtucket,3. RENOVATION AND IMPROVEMENT OF PUBLIC BUILDINGS,,NON,Approve,18093
Pawtucket,3. RENOVATION AND IMPROVEMENT OF PUBLIC BUILDINGS,,NON,Reject,5505
Pawtucket,"4. REPAVING OF STREETS $3,000,000 BONDS AND NOTES",,NON,Approve,21230
Pawtucket,"4. REPAVING OF STREETS $3,000,000 BONDS AND NOTES",,NON,Reject,2519
Pawtucket,5. CONSTRUCTION AND RECONSTRUCTION OF SIDEWALKS,,NON,Approve,19010
Pawtucket,5. CONSTRUCTION AND RECONSTRUCTION OF SIDEWALKS,,NON,Reject,3591
Pawtucket,6. CONSTRUCTION AND RECONSTRUCTION OF SEWER AND SANITAT,,NON,Approve,20050
Pawtucket,6. CONSTRUCTION AND RECONSTRUCTION OF SEWER AND SANITAT,,NON,Reject,2546
Pawtucket,7. RENOVATION AND RECONSTRUCTION OF PUBLIC RECREATION FA,,NON,Approve,17685
Pawtucket,7. RENOVATION AND RECONSTRUCTION OF PUBLIC RECREATION FA,,NON,Reject,4725
Pawtucket,8. AMENDMENT TO THE PAWTUCKET HOME RULE CHARTER,,NON,Approve,14440
Pawtucket,8. AMENDMENT TO THE PAWTUCKET HOME RULE CHARTER,,NON,Reject,7182
Portsmouth,President,,DEM,Joseph R. Biden,6649
Portsmouth,President,,REP,Donald J. Trump,3995
Portsmouth,President,,Lib,Jo Jorgensen,148
Portsmouth,President,,NON,WRITE-IN,73
Portsmouth,President,,All,Roque &quot;Rocky&quot; De La Fuente,24
Portsmouth,President,,AS,Brian Carroll,15
Portsmouth,President,,S&L,Gloria La Riva,13
Portsmouth,U.S. Senate,,DEM,John F. Reed,6987
Portsmouth,U.S. Senate,,REP,Allen R. Waters,3565
Portsmouth,U.S. Senate,,NON,WRITE-IN,13
Portsmouth,U.S. House,1,DEM,David N. Cicilline,6667
Portsmouth,U.S. House,1,Ind,Frederick Wysocki,1949
Portsmouth,U.S. House,1,Ind,Jeffrey Edward Lemire,1255
Portsmouth,U.S. House,1,NON,WRITE-IN,83
Portsmouth,State Senate,11,DEM,James Arthur Seveney,8006
Portsmouth,State Senate,11,NON,WRITE-IN,317
Portsmouth,State House,69,DEM,Susan R. Donovan,234
Portsmouth,State House,69,REP,Ann L. Costa,172
Portsmouth,State House,69,NON,WRITE-IN,2
Portsmouth,State House,70,DEM,John G. Edwards,1040
Portsmouth,State House,70,REP,Christopher M. Borden,549
Portsmouth,State House,70,NON,WRITE-IN,6
Portsmouth,State House,71,DEM,Michelle E. McGaw,1715
Portsmouth,State House,71,REP,Amy E. Veri,1084
Portsmouth,State House,71,Ind,Nathan Joseph Melvin,175
Portsmouth,State House,71,NON,WRITE-IN,7
Portsmouth,State House,72,DEM,Terri-Denise Cortvriend,2985
Portsmouth,State House,72,REP,Kenneth J. Mendonca,2377
Portsmouth,State House,72,NON,WRITE-IN,5
Portsmouth,Town Council TOWN OF PORTSMOUTH,,DEM,Michael A. Buddemeyer,6044
Portsmouth,Town Council TOWN OF PORTSMOUTH,,DEM,Kevin M. Aguiar,5931
Portsmouth,Town Council TOWN OF PORTSMOUTH,,REP,Keith E. Hamilton,5881
Portsmouth,Town Council TOWN OF PORTSMOUTH,,DEM,Linda L. Ujifusa,5757
Portsmouth,Town Council TOWN OF PORTSMOUTH,,DEM,Andrew V. Kelly,5721
Portsmouth,Town Council TOWN OF PORTSMOUTH,,DEM,Daniela T. H. Abbott,5666
Portsmouth,Town Council TOWN OF PORTSMOUTH,,DEM,J. Mark Ryan,5521
Portsmouth,Town Council TOWN OF PORTSMOUTH,,DEM,Leonard Barry Katzman,5427
Portsmouth,Town Council TOWN OF PORTSMOUTH,,NON,WRITE-IN,652
Portsmouth,School Committee TOWN OF PORTSMOUTH,,DEM,Emily A. Copeland,6801
Portsmouth,School Committee TOWN OF PORTSMOUTH,,DEM,Karen E. Marlow McDaid,6073
Portsmouth,School Committee TOWN OF PORTSMOUTH,,DEM,Juan Carlos Payero,6014
Portsmouth,School Committee TOWN OF PORTSMOUTH,,NON,WRITE-IN,278
Portsmouth,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5309
Portsmouth,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,4746
Portsmouth,"2. GRAMMATICAL REVISION AND COUNCIL NUMBER, TERM, SELECT",,NON,Approve,8336
Portsmouth,"2. GRAMMATICAL REVISION AND COUNCIL NUMBER, TERM, SELECT",,NON,Reject,1392
Portsmouth,"3. TOWN COUNCIL, PRESIDING OFFICER TOWN OF PORTSMOUTH",,NON,Approve,8957
Portsmouth,"3. TOWN COUNCIL, PRESIDING OFFICER TOWN OF PORTSMOUTH",,NON,Reject,878
Portsmouth,4. TOWN COUNCIL POWERS TOWN OF PORTSMOUTH,,NON,Approve,8389
Portsmouth,4. TOWN COUNCIL POWERS TOWN OF PORTSMOUTH,,NON,Reject,1234
Portsmouth,"5. BUDGET, PROVISIONAL TOWN OF PORTSMOUTH",,NON,Approve,9077
Portsmouth,"5. BUDGET, PROVISIONAL TOWN OF PORTSMOUTH",,NON,Reject,717
Portsmouth,"6. TOWN DEPARTMENTS, FIRE TOWN OF PORTSMOUTH",,NON,Approve,8097
Portsmouth,"6. TOWN DEPARTMENTS, FIRE TOWN OF PORTSMOUTH",,NON,Reject,1775
Portsmouth,"7. SCHOOL DEPARTMENT, SCHOOL COMMITTEE COMPENSATION",,NON,Approve,6889
Portsmouth,"7. SCHOOL DEPARTMENT, SCHOOL COMMITTEE COMPENSATION",,NON,Reject,2758
Portsmouth,"8. ORGANIZATION AND RULES, SELECTING CLERK OF THE SCHOOL",,NON,Approve,7539
Portsmouth,"8. ORGANIZATION AND RULES, SELECTING CLERK OF THE SCHOOL",,NON,Reject,2224
Portsmouth,9. APPOINTMENT OF A SUPERINTENDENT TOWN OF PORTSMOUTH,,NON,Approve,8385
Portsmouth,9. APPOINTMENT OF A SUPERINTENDENT TOWN OF PORTSMOUTH,,NON,Reject,1341
Portsmouth,10. APPOINTMENT AND REMOVAL OF OTHER SCHOOL EMPLOYEES,,NON,Approve,7688
Portsmouth,10. APPOINTMENT AND REMOVAL OF OTHER SCHOOL EMPLOYEES,,NON,Reject,1828
Portsmouth,11. PUBLIC RECORDS TOWN OF PORTSMOUTH,,NON,Approve,8678
Portsmouth,11. PUBLIC RECORDS TOWN OF PORTSMOUTH,,NON,Reject,972
Portsmouth,12. CONFLICT OF INTEREST TOWN OF PORTSMOUTH,,NON,Approve,8851
Portsmouth,12. CONFLICT OF INTEREST TOWN OF PORTSMOUTH,,NON,Reject,846
Portsmouth,13. COLLECTIVE BARGAINING TOWN OF PORTSMOUTH,,NON,Approve,6872
Portsmouth,13. COLLECTIVE BARGAINING TOWN OF PORTSMOUTH,,NON,Reject,2612
Providence,President,,DEM,Joseph R. Biden,45941
Providence,President,,REP,Donald J. Trump,10186
Providence,President,,Lib,Jo Jorgensen,346
Providence,President,,NON,WRITE-IN,314
Providence,President,,S&L,Gloria La Riva,180
Providence,President,,AS,Brian Carroll,111
Providence,President,,All,Roque &quot;Rocky&quot; De La Fuente,89
Providence,U.S. Senate,,DEM,John F. Reed,45774
Providence,U.S. Senate,,REP,Allen R. Waters,7662
Providence,U.S. Senate,,NON,WRITE-IN,176
Providence,U.S. House,1,DEM,David N. Cicilline,27097
Providence,U.S. House,1,Ind,Frederick Wysocki,1975
Providence,U.S. House,1,Ind,Jeffrey Edward Lemire,1455
Providence,U.S. House,1,NON,WRITE-IN,198
Providence,U.S. House,2,DEM,James R. Langevin,18910
Providence,U.S. House,2,REP,Robert B. Lancia,4483
Providence,U.S. House,2,NON,WRITE-IN,123
Providence,State Senate,1,DEM,Maryellen Goodwin,7492
Providence,State Senate,1,NON,WRITE-IN,236
Providence,State Senate,2,DEM,Ana B. Quezada,6225
Providence,State Senate,2,NON,WRITE-IN,170
Providence,State Senate,3,DEM,Gayle L. Goldin,10851
Providence,State Senate,3,NON,WRITE-IN,328
Providence,State Senate,4,DEM,Dominick J. Ruggerio,2997
Providence,State Senate,4,NON,WRITE-IN,259
Providence,State Senate,5,DEM,Samuel W. Bell,7659
Providence,State Senate,5,NON,WRITE-IN,257
Providence,State Senate,6,DEM,Tiara T. Mack,6723
Providence,State Senate,6,GRN,Kevin C. Gilligan,781
Providence,State Senate,6,NON,WRITE-IN,71
Providence,State Senate,7,DEM,Frank A. Ciccone,4945
Providence,State Senate,7,NON,WRITE-IN,177
Providence,State Senate,28,DEM,Joshua Miller,200
Providence,State Senate,28,Ind,Robert A. Schattle,38
Providence,State Senate,28,NON,WRITE-IN,1
Providence,State House,1,DEM,Edith H. Ajello,3943
Providence,State House,1,NON,WRITE-IN,115
Providence,State House,2,DEM,Christopher R. Blazejewski,4126
Providence,State House,2,NON,WRITE-IN,107
Providence,State House,3,DEM,Nathan W. Biah,3258
Providence,State House,3,NON,WRITE-IN,84
Providence,State House,4,DEM,Rebecca M. Kislak,6329
Providence,State House,4,Ind,Aryeh Yisrael Rosenfield,906
Providence,State House,4,NON,WRITE-IN,54
Providence,State House,5,DEM,Marcia P. Ranglin-Vassell,2981
Providence,State House,5,REP,Ronald F. Iacobbo,1027
Providence,State House,5,NON,WRITE-IN,29
Providence,State House,6,DEM,Raymond A. Hull,2585
Providence,State House,6,Ind,Jorge Porras,769
Providence,State House,6,NON,WRITE-IN,29
Providence,State House,7,DEM,David Morales,4069
Providence,State House,7,NON,WRITE-IN,170
Providence,State House,8,DEM,John J. Lombardi,3766
Providence,State House,8,NON,WRITE-IN,70
Providence,State House,9,DEM,Anastasia P. Williams,2513
Providence,State House,9,Ind,Rosa Marie Hill,899
Providence,State House,9,NON,WRITE-IN,32
Providence,State House,10,DEM,Scott A. Slater,3047
Providence,State House,10,NON,WRITE-IN,84
Providence,State House,11,DEM,Grace Diaz,3350
Providence,State House,11,Ind,Emmanuel C. Nyema,513
Providence,State House,11,NON,WRITE-IN,39
Providence,State House,12,DEM,Jose F. Batista,3071
Providence,State House,12,NON,WRITE-IN,69
Providence,State House,13,DEM,Ramon A. Perez,2068
Providence,State House,13,NON,WRITE-IN,576
Providence,State House,14,DEM,Charlene Lima,369
Providence,State House,14,NON,WRITE-IN,8
Providence,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,37288
Providence,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,9953
Providence,"2. SCHOOL AND SCHOOL FACILITIES $140,000,000",,NON,Approve,41789
Providence,"2. SCHOOL AND SCHOOL FACILITIES $140,000,000",,NON,Reject,5115
Richmond,President,,DEM,Joseph R. Biden,2346
Richmond,President,,REP,Donald J. Trump,2343
Richmond,President,,Lib,Jo Jorgensen,66
Richmond,President,,NON,WRITE-IN,21
Richmond,President,,All,Roque &quot;Rocky&quot; De La Fuente,14
Richmond,President,,AS,Brian Carroll,9
Richmond,President,,S&L,Gloria La Riva,9
Richmond,U.S. Senate,,DEM,John F. Reed,2557
Richmond,U.S. Senate,,REP,Allen R. Waters,2091
Richmond,U.S. Senate,,NON,WRITE-IN,8
Richmond,U.S. House,2,REP,Robert B. Lancia,2322
Richmond,U.S. House,2,DEM,James R. Langevin,2313
Richmond,U.S. House,2,NON,WRITE-IN,5
Richmond,State Senate,34,REP,Elaine J. Morgan,2516
Richmond,State Senate,34,DEM,Jennifer C. Douglas,2106
Richmond,State Senate,34,NON,WRITE-IN,1
Richmond,State House,39,REP,Justin K. Price,2369
Richmond,State House,39,DEM,Megan L. Cotter,2213
Richmond,State House,39,NON,WRITE-IN,5
Richmond,Town Council TOWN OF RICHMOND,,REP,Richard G. Nassaney,2715
Richmond,Town Council TOWN OF RICHMOND,,DEM,Lauren E. Cacciola Parmer,2387
Richmond,Town Council TOWN OF RICHMOND,,Ind,Nell M. Carpenter,2308
Richmond,Town Council TOWN OF RICHMOND,,Ind,Ronald D. Newman,2297
Richmond,Town Council TOWN OF RICHMOND,,Ind,James H. Palmisciano,2155
Richmond,Town Council TOWN OF RICHMOND,,NON,WRITE-IN,204
Richmond,Chariho School Committee TOWN OF RICHMOND,,Ind,Sheila A. Grover,3560
Richmond,Chariho School Committee TOWN OF RICHMOND,,NON,WRITE-IN,279
Richmond,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,2564
Richmond,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2001
Scituate,President,,REP,Donald J. Trump,3806
Scituate,President,,DEM,Joseph R. Biden,2735
Scituate,President,,Lib,Jo Jorgensen,69
Scituate,President,,NON,WRITE-IN,38
Scituate,President,,All,Roque &quot;Rocky&quot; De La Fuente,15
Scituate,President,,AS,Brian Carroll,12
Scituate,President,,S&L,Gloria La Riva,8
Scituate,U.S. Senate,,DEM,John F. Reed,3248
Scituate,U.S. Senate,,REP,Allen R. Waters,3204
Scituate,U.S. Senate,,NON,WRITE-IN,12
Scituate,U.S. House,2,REP,Robert B. Lancia,3616
Scituate,U.S. House,2,DEM,James R. Langevin,2821
Scituate,U.S. House,2,NON,WRITE-IN,15
Scituate,State Senate,21,REP,Gordon E. Rogers,4897
Scituate,State Senate,21,NON,WRITE-IN,151
Scituate,State House,41,REP,Robert J. Quattrocchi,4172
Scituate,State House,41,DEM,Pamela Carosi,2177
Scituate,State House,41,NON,WRITE-IN,11
Scituate,Town Clerk TOWN OF SCITUATE,,DEM,Margaret McGraw Long,3767
Scituate,Town Clerk TOWN OF SCITUATE,,REP,Robert A. Dexter,2640
Scituate,Town Clerk TOWN OF SCITUATE,,NON,WRITE-IN,7
Scituate,School Committee TOWN OF SCITUATE,,DEM,Carolyn J. Dias,3103
Scituate,School Committee TOWN OF SCITUATE,,DEM,Kevin T. Pendergast,2752
Scituate,School Committee TOWN OF SCITUATE,,REP,Walter F. Rowe,2582
Scituate,School Committee TOWN OF SCITUATE,,REP,Joseph G. Murray,2242
Scituate,School Committee TOWN OF SCITUATE,,Ind,"Joseph Maggiacomo, III",971
Scituate,School Committee TOWN OF SCITUATE,,NON,WRITE-IN,19
Scituate,Town Council TOWN OF SCITUATE,,REP,Abbie J. Groves,3533
Scituate,Town Council TOWN OF SCITUATE,,REP,"James H. Brady, Jr.",3241
Scituate,Town Council TOWN OF SCITUATE,,REP,Theresa C. Yeaw,3159
Scituate,Town Council TOWN OF SCITUATE,,REP,Timothy J. McCormick,3145
Scituate,Town Council TOWN OF SCITUATE,,REP,David A. Dagostino,2966
Scituate,Town Council TOWN OF SCITUATE,,DEM,Michael J. Marcello,2927
Scituate,Town Council TOWN OF SCITUATE,,REP,Gary Grande,2912
Scituate,Town Council TOWN OF SCITUATE,,REP,"Charles A. Collins, Jr.",2902
Scituate,Town Council TOWN OF SCITUATE,,DEM,Debra A. Archetto,2136
Scituate,Town Council TOWN OF SCITUATE,,DEM,Sacha A. Hummel,2071
Scituate,Town Council TOWN OF SCITUATE,,DEM,Annamarie Cimini,2023
Scituate,Town Council TOWN OF SCITUATE,,DEM,William K. Austin,1902
Scituate,Town Council TOWN OF SCITUATE,,DEM,Terrell Jordan Parker,1841
Scituate,Town Council TOWN OF SCITUATE,,GG,"Donald R. Delaere, Jr.",1514
Scituate,Town Council TOWN OF SCITUATE,,Ind,Thomas P. Galligan,1434
Scituate,Town Council TOWN OF SCITUATE,,NON,WRITE-IN,98
Scituate,Town Treasurer TOWN OF SCITUATE,,REP,Theodore J. Przybyla,4983
Scituate,Town Treasurer TOWN OF SCITUATE,,NON,WRITE-IN,144
Scituate,Town Sergeant TOWN OF SCITUATE,,REP,Bradford A. Dexter,4976
Scituate,Town Sergeant TOWN OF SCITUATE,,NON,WRITE-IN,122
