county,office,district,party,candidate,votes
Chaves,STATE REPRESENTATIVE,57,DEMOCRATIC PARTY,MARY FRANCES BARRON,1306
Lincoln,STATE REPRESENTATIVE,57,DEMOCRATIC PARTY,MARY FRANCES BARRON,1952
Otero,STATE REPRESENTATIVE,57,DEMOCRATIC PARTY,MARY FRANCES BARRON,972
,STATE REPRESENTATIVE,57,DEMOCRATIC PARTY,MARY FRANCES BARRON,4230
Chaves,STATE REPRESENTATIVE,57,REPUBLICAN PARTY,DENNIS J. KINTIGH,4015
Lincoln,STATE REPRESENTATIVE,57,REPUBLICAN PARTY,DENNIS J. KINTIGH,3012
Otero,STATE REPRESENTATIVE,57,REPUBLICAN PARTY,DENNIS J. KINTIGH,1202
,STATE REPRESENTATIVE,57,REPUBLICAN PARTY,DENNIS J. KINTIGH,8229
Chaves,STATE REPRESENTATIVE,58,DEMOCRATIC PARTY,GEORGE G. PETERSON,2621
,STATE REPRESENTATIVE,58,DEMOCRATIC PARTY,GEORGE G. PETERSON,2621
Chaves,STATE REPRESENTATIVE,58,REPUBLICAN PARTY,CANDY SPENCE EZZELL,4208
,STATE REPRESENTATIVE,58,REPUBLICAN PARTY,CANDY SPENCE EZZELL,4208
Chaves,STATE REPRESENTATIVE,59,DEMOCRATIC PARTY,ELLEN E. WEDUM,2538
Lincoln,STATE REPRESENTATIVE,59,DEMOCRATIC PARTY,ELLEN E. WEDUM,190
Otero,STATE REPRESENTATIVE,59,DEMOCRATIC PARTY,ELLEN E. WEDUM,718
,STATE REPRESENTATIVE,59,DEMOCRATIC PARTY,ELLEN E. WEDUM,3446
Chaves,STATE REPRESENTATIVE,59,REPUBLICAN PARTY,NORA ESPINOZA,4416
Lincoln,STATE REPRESENTATIVE,59,REPUBLICAN PARTY,NORA ESPINOZA,465
Otero,STATE REPRESENTATIVE,59,REPUBLICAN PARTY,NORA ESPINOZA,1588
,STATE REPRESENTATIVE,59,REPUBLICAN PARTY,NORA ESPINOZA,6469
San Juan,STATE REPRESENTATIVE,60,DEMOCRATIC PARTY,JACK E. THOMAS,8362
,STATE REPRESENTATIVE,60,DEMOCRATIC PARTY,JACK E. THOMAS,8362
San Juan,STATE REPRESENTATIVE,60,REPUBLICAN PARTY,PAULA PAPPONI,8084
,STATE REPRESENTATIVE,60,REPUBLICAN PARTY,PAULA PAPPONI,8084
Lea,STATE REPRESENTATIVE,61,REPUBLICAN PARTY,SHIRLEY A. TYLER,4713
,STATE REPRESENTATIVE,61,REPUBLICAN PARTY,SHIRLEY A. TYLER,4713
Lea,STATE REPRESENTATIVE,62,REPUBLICAN PARTY,DONALD E. BRATTON,8402
,STATE REPRESENTATIVE,62,REPUBLICAN PARTY,DONALD E. BRATTON,8402
Curry,STATE REPRESENTATIVE,63,DEMOCRATIC PARTY,JOSE A. CAMPOS II,1821
De Baca,STATE REPRESENTATIVE,63,DEMOCRATIC PARTY,JOSE A. CAMPOS II,629
Guadalupe,STATE REPRESENTATIVE,63,DEMOCRATIC PARTY,JOSE A. CAMPOS II,972
Roosevelt,STATE REPRESENTATIVE,63,DEMOCRATIC PARTY,JOSE A. CAMPOS II,579
,STATE REPRESENTATIVE,63,DEMOCRATIC PARTY,JOSE A. CAMPOS II,4001
Curry,STATE REPRESENTATIVE,63,REPUBLICAN PARTY,MATTHEW D. RUSH,1411
De Baca,STATE REPRESENTATIVE,63,REPUBLICAN PARTY,MATTHEW D. RUSH,412
Guadalupe,STATE REPRESENTATIVE,63,REPUBLICAN PARTY,MATTHEW D. RUSH,382
Roosevelt,STATE REPRESENTATIVE,63,REPUBLICAN PARTY,MATTHEW D. RUSH,602
,STATE REPRESENTATIVE,63,REPUBLICAN PARTY,MATTHEW D. RUSH,2807
Curry,STATE REPRESENTATIVE,64,DEMOCRATIC PARTY,MARIO TRUJILLO,3370
,STATE REPRESENTATIVE,64,DEMOCRATIC PARTY,MARIO TRUJILLO,3370
Curry,STATE REPRESENTATIVE,64,REPUBLICAN PARTY,ANNA M. CROOK,5977
,STATE REPRESENTATIVE,64,REPUBLICAN PARTY,ANNA M. CROOK,5977
Bernalillo,STATE REPRESENTATIVE,65,DEMOCRATIC PARTY,JAMES ROGER MADALENA,46
McKinley,STATE REPRESENTATIVE,65,DEMOCRATIC PARTY,JAMES ROGER MADALENA,237
Rio Arriba,STATE REPRESENTATIVE,65,DEMOCRATIC PARTY,JAMES ROGER MADALENA,625
San Juan,STATE REPRESENTATIVE,65,DEMOCRATIC PARTY,JAMES ROGER MADALENA,7141
,STATE REPRESENTATIVE,65,DEMOCRATIC PARTY,JAMES ROGER MADALENA,8049
Chaves,STATE REPRESENTATIVE,66,REPUBLICAN PARTY,KEITH GARDNER,1974
Eddy,STATE REPRESENTATIVE,66,REPUBLICAN PARTY,KEITH GARDNER,1846
Lea,STATE REPRESENTATIVE,66,REPUBLICAN PARTY,KEITH GARDNER,931
Roosevelt,STATE REPRESENTATIVE,66,REPUBLICAN PARTY,KEITH GARDNER,2579
,STATE REPRESENTATIVE,66,REPUBLICAN PARTY,KEITH GARDNER,7330
Curry,STATE REPRESENTATIVE,67,DEMOCRATIC PARTY,CRAIG L. COSNER,462
Harding,STATE REPRESENTATIVE,67,DEMOCRATIC PARTY,CRAIG L. COSNER,324
Quay,STATE REPRESENTATIVE,67,DEMOCRATIC PARTY,CRAIG L. COSNER,2207
Roosevelt,STATE REPRESENTATIVE,67,DEMOCRATIC PARTY,CRAIG L. COSNER,792
Sandoval,STATE REPRESENTATIVE,67,DEMOCRATIC PARTY,CRAIG L. COSNER,58
Union,STATE REPRESENTATIVE,67,DEMOCRATIC PARTY,CRAIG L. COSNER,620
,STATE REPRESENTATIVE,67,DEMOCRATIC PARTY,CRAIG L. COSNER,4463
Curry,STATE REPRESENTATIVE,67,REPUBLICAN PARTY,DENNIS J. ROCH,1156
Harding,STATE REPRESENTATIVE,67,REPUBLICAN PARTY,DENNIS J. ROCH,267
Quay,STATE REPRESENTATIVE,67,REPUBLICAN PARTY,DENNIS J. ROCH,1752
Roosevelt,STATE REPRESENTATIVE,67,REPUBLICAN PARTY,DENNIS J. ROCH,1164
Sandoval,STATE REPRESENTATIVE,67,REPUBLICAN PARTY,DENNIS J. ROCH,68
Union,STATE REPRESENTATIVE,67,REPUBLICAN PARTY,DENNIS J. ROCH,1089
,STATE REPRESENTATIVE,67,REPUBLICAN PARTY,DENNIS J. ROCH,5496
Colfax,STATE REPRESENTATIVE,68,DEMOCRATIC PARTY,THOMAS A. GARCIA,3995
Guadalupe,STATE REPRESENTATIVE,68,DEMOCRATIC PARTY,THOMAS A. GARCIA,647
Mora,STATE REPRESENTATIVE,68,DEMOCRATIC PARTY,THOMAS A. GARCIA,2105
Sandoval,STATE REPRESENTATIVE,68,DEMOCRATIC PARTY,THOMAS A. GARCIA,945
Taos,STATE REPRESENTATIVE,68,DEMOCRATIC PARTY,THOMAS A. GARCIA,534
,STATE REPRESENTATIVE,68,DEMOCRATIC PARTY,THOMAS A. GARCIA,8226
Colfax,STATE REPRESENTATIVE,68,REPUBLICAN PARTY,SYLVIA L. OLSON,2168
Guadalupe,STATE REPRESENTATIVE,68,REPUBLICAN PARTY,SYLVIA L. OLSON,150
Mora,STATE REPRESENTATIVE,68,REPUBLICAN PARTY,SYLVIA L. OLSON,378
Sandoval,STATE REPRESENTATIVE,68,REPUBLICAN PARTY,SYLVIA L. OLSON,297
Taos,STATE REPRESENTATIVE,68,REPUBLICAN PARTY,SYLVIA L. OLSON,74
,STATE REPRESENTATIVE,68,REPUBLICAN PARTY,SYLVIA L. OLSON,3067
Cibola,STATE REPRESENTATIVE,69,DEMOCRATIC PARTY,W. KEN MARTINEZ,4237
McKinley,STATE REPRESENTATIVE,69,DEMOCRATIC PARTY,W. KEN MARTINEZ,2277
San Miguel,STATE REPRESENTATIVE,69,DEMOCRATIC PARTY,W. KEN MARTINEZ,943
,STATE REPRESENTATIVE,69,DEMOCRATIC PARTY,W. KEN MARTINEZ,7457
Sandoval,STATE REPRESENTATIVE,70,DEMOCRATIC PARTY,RICHARD D. VIGIL,6823
Torrance,STATE REPRESENTATIVE,70,DEMOCRATIC PARTY,RICHARD D. VIGIL,362
,STATE REPRESENTATIVE,70,DEMOCRATIC PARTY,RICHARD D. VIGIL,7185
Sandoval,STATE REPRESENTATIVE,70,REPUBLICAN PARTY,MEL ROOT,2657
Torrance,STATE REPRESENTATIVE,70,REPUBLICAN PARTY,MEL ROOT,450
,STATE REPRESENTATIVE,70,REPUBLICAN PARTY,MEL ROOT,3107
